maxVmag_counts,maxVmag_g,xValue_counts,yValue_counts,zValue_counts,xValue_g,yValue_g,zValue_g,maxVmagTime,meanVmag_counts,meanVmag_g,sta,staIndex,startTimeFile
767.3838674353273,0.18734957701057794,-249.0,-554.0,469.0,-0.060791015625,-0.13525390625,0.114501953125,2019-04-27T19:20:10.507300Z,72.83048217127696,0.017780879436346913,NL,1,2019-04-27T19:19:50Z
2338.5709311457717,0.5709401687367607,53.0,-2283.0,504.0,0.012939453125,-0.557373046875,0.123046875,2019-04-27T19:20:09.614800Z,124.32853470883987,0.03035364616915036,NR,2,2019-04-27T19:19:50Z
391.46655134393353,0.09557288851170252,43.2408410818,-137.0,-364.152839456,0.0105568459672,-0.033447265625,-0.0889045018202,2019-04-27T19:20:10.942100Z,109.89093180172668,0.026828840771905928,FR,3,2019-04-27T19:19:50Z
277.6857317635073,0.06779436810632503,74.6179741548,154.0,-218.690474319,0.0182172788464,0.03759765625,-0.0533912290819,2019-04-27T19:22:40.813900Z,116.75533353588037,0.028504720101533293,FL,0,2019-04-27T19:22:21Z
615.6711784711057,0.1503103463064223,149.0,375.0,-465.0,0.036376953125,0.091552734375,-0.113525390625,2019-04-27T19:22:39.562300Z,72.84833971664874,0.017785239188634946,NL,1,2019-04-27T19:22:21Z
3558.6809354028924,0.8688185877448468,-983.0,-2664.0,2145.0,-0.239990234375,-0.650390625,0.523681640625,2019-04-27T19:22:39.399800Z,152.08860149405317,0.037131006224134074,NR,2,2019-04-27T19:22:21Z
870.3431024190531,0.21248610898902665,-326.513993694,279.0,756.997178231,-0.0797153304917,0.068115234375,0.184813764217,2019-04-27T19:22:40.067100Z,113.0937813058655,0.02761078645162732,FR,3,2019-04-27T19:22:21Z
339.24608211799347,0.08282375051708825,36.525866842,287.0,-177.157459013,0.00891744795946,0.070068359375,-0.0432513327668,2019-04-27T22:11:05.124300Z,113.627833847841,0.027741170373008057,FL,0,2019-04-27T22:10:54Z
742.4048760615733,0.18125119044472005,100.0,722.0,-141.0,0.0244140625,0.17626953125,-0.034423828125,2019-04-27T22:11:05.061500Z,73.56635863167193,0.01796053677531053,NL,1,2019-04-27T22:10:54Z
3020.2372423370985,0.7373626079924557,1794.0,1761.0,-1674.0,0.43798828125,0.429931640625,-0.40869140625,2019-04-27T22:11:03.505600Z,190.48174930453126,0.04650433332630158,NR,2,2019-04-27T22:10:54Z
1067.5764773762303,0.2606387884219312,551.289603304,-413.0,-815.616520391,0.134592188307,-0.100830078125,-0.199125127049,2019-04-27T22:11:03.905100Z,117.53924060263644,0.028696103662753037,FR,3,2019-04-27T22:10:54Z
340.5770875144188,0.0831487030064499,86.6336338591,64.0,-323.09652741,0.0211507895164,0.015625,-0.0788809881371,2019-04-27T22:25:38.864300Z,112.32022337453988,0.027421929534799775,FL,0,2019-04-27T22:25:22Z
375.5369489144843,0.09168382541857527,24.0,144.0,-346.0,0.005859375,0.03515625,-0.08447265625,2019-04-27T22:25:38.906500Z,68.74177251641746,0.01678265930576598,NL,1,2019-04-27T22:25:22Z
