maxVmag_counts,maxVmag_g,xValue_counts,yValue_counts,zValue_counts,xValue_g,yValue_g,zValue_g,maxVmagTime,meanVmag_counts,meanVmag_g,sta,staIndex,startTimeFile,Category,Round,Heat,Day
7821.307691,1.909498948,-4365,5805,2902,-1.065673828,1.417236328,0.708496094,2019-04-27T21:45:55.598600Z,163.9815901,0.040034568,NR,2,2019-04-27T21:45:42Z,Funny Car,Q4,Heat 4,Sunday
3745.420541,0.914409312,2965.583905,-1338,-1855.597781,0.724019508,-0.326660156,-0.453026802,2019-04-27T21:45:55.937600Z,135.6975699,0.03312929,FR,3,2019-04-27T21:45:42Z,Funny Car,Q4,Heat 4,Sunday
2251.17705,0.549603772,-1500.085536,1643,-343.6458876,-0.36623182,0.401123047,-0.083897922,2019-04-27T21:49:56.501200Z,129.622778,0.031646186,FL,0,2019-04-27T21:49:42Z,Funny Car,Q4,Heat 5,Sunday
8218.613326,2.006497394,-1369,7388,3330,-0.334228516,1.803710938,0.812988281,2019-04-27T21:49:55.941100Z,137.4919877,0.03356738,NL,1,2019-04-27T21:49:42Z,Funny Car,Q4,Heat 5,Sunday
9619.614545,2.348538707,2502,-8362,-4044,0.610839844,-2.041503906,-0.987304688,2019-04-27T21:49:56.008600Z,149.7752314,0.036566219,NR,2,2019-04-27T21:49:42Z,Funny Car,Q4,Heat 5,Sunday
3119.382126,0.761567902,-2043.504967,2245,717.3613465,-0.49890258,0.548095703,0.175137047,2019-04-27T21:49:56.457600Z,130.3101204,0.031813994,FR,3,2019-04-27T21:49:42Z,Funny Car,Q4,Heat 5,Sunday
2849.095438,0.695579941,-1803.910763,1750,1341.920555,-0.440407901,0.427246094,0.327617323,2019-04-28T16:23:36.048100Z,145.9419871,0.035630368,FL,0,2019-04-28T16:23:15Z,Funny Car,E1,Heat 1,Saturday
9624.521599,2.349736718,110,9370,2196,0.026855469,2.287597656,0.536132813,2019-04-28T16:23:35.981700Z,164.3879282,0.040133772,NL,1,2019-04-28T16:23:15Z,Funny Car,E1,Heat 1,Saturday
6648.852683,1.62325505,-456,-6615,-491,-0.111328125,-1.614990234,-0.119873047,2019-04-28T16:23:35.721000Z,161.814448,0.03950548,NR,2,2019-04-28T16:23:15Z,Funny Car,E1,Heat 1,Saturday
3346.313938,0.816971176,2154.117869,-1383,-2155.203976,0.525907683,-0.337646484,-0.526172846,2019-04-28T16:23:36.309500Z,122.3676443,0.029874913,FR,3,2019-04-28T16:23:15Z,Funny Car,E1,Heat 1,Saturday
2872.146031,0.701207527,2336.536945,1364,964.0134492,0.57044359,0.333007813,0.235354846,2019-04-28T16:27:00.468100Z,142.1677428,0.034708922,FL,0,2019-04-28T16:26:41Z,Funny Car,E1,Heat 2,Saturday
6805.077222,1.661395806,-460,-6624,-1490,-0.112304688,-1.6171875,-0.363769531,2019-04-28T16:27:00.556700Z,150.7193459,0.036796715,NL,1,2019-04-28T16:26:41Z,Funny Car,E1,Heat 2,Saturday
3585.742461,0.875425406,772,2942,-1899,0.188476563,0.718261719,-0.463623047,2019-04-28T16:26:59.876000Z,126.2562143,0.030824271,NR,2,2019-04-28T16:26:41Z,Funny Car,E1,Heat 2,Saturday
1148.280694,0.280341966,903.6777872,115,-699.063666,0.22062446,0.028076172,-0.17066984,2019-04-28T16:27:00.659500Z,112.4594478,0.02745592,FR,3,2019-04-28T16:26:41Z,Funny Car,E1,Heat 2,Saturday
2366.819785,0.577836862,240.1110403,2302,-494.9531122,0.058620859,0.562011719,-0.120838162,2019-04-28T16:31:13.593100Z,139.9531132,0.034168241,FL,0,2019-04-28T16:30:52Z,Funny Car,E1,Heat 3,Saturday
8109.735261,1.979915835,-1066,-8039,77,-0.260253906,-1.962646484,0.018798828,2019-04-28T16:31:12.821700Z,158.4870322,0.038693123,NL,1,2019-04-28T16:30:52Z,Funny Car,E1,Heat 3,Saturday
