,TF Q3 H5,FC Q4 H6,TF Q4 H5,TF Q3 H2,TF Q3 H3,TF Q3 H4,TF Q3 H6,TF Q3 H7,TF Q3 H8,TF Q4 H1,TF Q4 H2,TF Q4 H3,TF Q4 H5,TF Q4 H6,FC Q4 H4,FC Q4 H5,FC Q4 H7,FC Q4 H8
660,128.6186857,126.8350469,129.7809566,92.40053643,39.61108628,122.507823,130.2011623,124.4792132,128.3996424,128.6455074,-1000,129.0031292,129.7809566,129.3339294,94.20205633,110.2860975,127.2060796,127.1032633
660,128.8109075,126.06616,130.0581135,95.80241395,129.2534645,129.360751,126.9959768,90.93875726,129.360751,67.32677693,126.5400089,107.6843987,130.0581135,130.1430487,123.5091641,127.1837282,127.4519446,126.1689763
