,TF Q3 H5,FC Q4 H6,TF Q4 H5,TF Q3 H2,TF Q3 H3,TF Q3 H4,TF Q3 H6,TF Q3 H7,TF Q3 H8,TF Q4 H1,TF Q4 H2,TF Q4 H3,TF Q4 H5,TF Q4 H6,FC Q4 H4,FC Q4 H5,FC Q4 H7,FC Q4 H8
60,313.4995594,261.2496328,394.6936898,258.7850136,818.8421328,227.6449083,57.44756325,294.9592629,45.56679642,262.499631,278.4894563,252.8222253,347.2305246,308.2158589,449.6919911,406.3883177,446.0359584,386.3550907
330,364.8649648,320.322002,312.0406679,337.1057154,610.8164493,334.1565071,315.9615978,293.8104439,166.7090198,280.9528174,255.9315741,298.1653418,332.3164382,310.1164706,313.336787,331.2220921,319.982318,319.982318
660,329.9544296,353.7436411,307.9013532,666.8360791,332.1335453,348.2323438,317.6245536,299.2001248,347.8309232,319.6433537,360.2905384,335.0842042,370.2372097,355.6197123,323.4119249,374.1392757,347.6305598,314.1523435
1000,321.0581864,319.3760792,343.7495168,328.5568505,346.222535,317.4908732,329.3853439,364.002275,527.0165503,322.3030366,200.6966012,339.9158791,342.2057316,345.0466848,195.5043222,132.7487971,345.5682974,323.4431252
