,TF Q3 H5,FC Q4 H6,TF Q4 H5,TF Q3 H2,TF Q3 H3,TF Q3 H4,TF Q3 H6,TF Q3 H7,TF Q3 H8,TF Q4 H1,TF Q4 H2,TF Q4 H3,TF Q4 H5,TF Q4 H6,FC Q4 H4,FC Q4 H5,FC Q4 H7,FC Q4 H8
660,128.6186857,126.8350469,129.7809566,92.40053643,39.61108628,122.507823,130.2011623,124.4792132,128.3996424,128.6455074,-1000,129.0031292,129.7809566,129.3339294,94.20205633,110.2860975,127.2060796,127.1032633
660,128.8109075,126.06616,130.0581135,95.80241395,129.2534645,129.360751,126.9959768,90.93875726,129.360751,67.32677693,126.5400089,107.6843987,130.0581135,130.1430487,123.5091641,127.1837282,127.4519446,126.1689763
1000,325.77,331.69,325.92,168.75,91.99,312.35,328.14,317.72,325.14,326.24,-1000,328.46,325.92,327.9,190.78,333.25,330.96,324.59
1000,328.06,328.46,329.5,184.19,328.7,323.5,324.83,183.94,325.92,131.79,316.15,249.53,329.5,321.04,323.12,321.81,328.06,332.18
1000,145.6280733,148.2744747,145.6951274,75.43585159,41.12203844,139.6289674,146.6875279,142.0295038,145.3464461,145.8381761,-1000,146.8305767,145.6951274,146.5802414,85.28386232,148.9718373,147.9481448,145.1005811
1000,146.6517658,146.8305767,147.295485,82.33795262,146.9378632,144.6133214,145.2078677,82.2261958,145.6951274,58.91372374,141.327671,111.5467143,147.295485,143.5136343,144.4434511,143.8578453,146.6517658,148.4935181
