maxVmag_counts,maxVmag_g,xValue_counts,yValue_counts,zValue_counts,xValue_g,yValue_g,zValue_g,maxVmagTime,meanVmag_counts,meanVmag_g,sta,staIndex,startTimeFile,Category,Round,Heat,Day
3257.284912,0.795235574,-2398,-1949,-1030,-0.585449219,-0.475830078,-0.251464844,2019-10-12T18:18:51.992500Z,109.3309555,0.026692128,NL,1,2019-10-12T18:18:30Z,Top Fuel ,Q3,Heat 4,Saturday
2824.27213,0.689519563,2634.443754,-785,648.0695725,0.643174745,-0.191650391,0.15822011,2019-10-12T18:18:52.090500Z,87.86925351,0.021452454,FL0,2,2019-10-12T18:18:30Z,Top Fuel ,Q3,Heat 4,Saturday
2065.612333,0.504299886,1954.548579,121,657.1553575,0.477184712,0.029541016,0.16043832,2019-10-12T18:18:53.125500Z,189.3597644,0.046230411,FL60,3,2019-10-12T18:18:30Z,Top Fuel ,Q3,Heat 4,Saturday
1416.986313,0.345943924,976.6364318,-993,-260.7345229,0.238436629,-0.242431641,-0.063655889,2019-10-12T18:18:54.090700Z,123.3255956,0.030108788,FL330,4,2019-10-12T18:18:30Z,Top Fuel ,Q3,Heat 4,Saturday
1254.481753,0.306269959,146.3072497,-1044,679.9872475,0.035719543,-0.254882813,0.166012512,2019-10-12T18:18:55.154500Z,87.74482621,0.021422077,FL660,5,2019-10-12T18:18:30Z,Top Fuel ,Q3,Heat 4,Saturday
1446.065747,0.353043395,-1239.614403,-225,-709.8149589,-0.302640235,-0.054931641,-0.173294668,2019-10-12T18:18:55.689200Z,168.8530548,0.04122389,FL1K,6,2019-10-12T18:18:30Z,Top Fuel ,Q3,Heat 4,Saturday
2332.515713,0.569461844,1857.708744,-1366,-351.5562199,0.453542174,-0.333496094,-0.085829155,2019-10-12T18:21:36.514600Z,116.1673424,0.028361168,FL,0,2019-10-12T18:21:15Z,Top Fuel ,Q3,Heat 5,Saturday
4935.295027,1.204906012,925,4454,-1914,0.225830078,1.087402344,-0.467285156,2019-10-12T18:21:36.097500Z,109.3617102,0.026699636,NL,1,2019-10-12T18:21:15Z,Top Fuel ,Q3,Heat 5,Saturday
2838.254594,0.692933251,2455.998877,-1208,751.328596,0.599609101,-0.294921875,0.183429833,2019-10-12T18:21:35.885500Z,88.0504604,0.021496694,FL0,2,2019-10-12T18:21:15Z,Top Fuel ,Q3,Heat 5,Saturday
2716.066339,0.663102134,-2076.424441,1646,-596.7930124,-0.506939561,0.401855469,-0.145701419,2019-10-12T18:21:36.865500Z,189.8116992,0.046340747,FL60,3,2019-10-12T18:21:15Z,Top Fuel ,Q3,Heat 5,Saturday
1380.899732,0.337133724,-1221.763785,471,-438.561654,-0.298282174,0.114990234,-0.107070716,2019-10-12T18:21:38.180700Z,123.4440168,0.030137699,FL330,4,2019-10-12T18:21:15Z,Top Fuel ,Q3,Heat 5,Saturday
1546.006752,0.377443055,-174.5944649,-903,1242.676406,-0.042625602,-0.220458984,0.303387795,2019-10-12T18:21:38.959500Z,88.71698223,0.021659419,FL660,5,2019-10-12T18:21:15Z,Top Fuel ,Q3,Heat 5,Saturday
1994.055304,0.486829908,1141.95631,1362,903.9625785,0.278797927,0.332519531,0.220693989,2019-10-12T18:21:39.639200Z,167.4292895,0.040876291,FL1K,6,2019-10-12T18:21:15Z,Top Fuel ,Q3,Heat 5,Saturday
1891.777668,0.461859782,-1826.369573,-337,-360.0387873,-0.445891009,-0.082275391,-0.087900095,2019-10-12T18:24:18.254600Z,115.8512026,0.028283985,FL,0,2019-10-12T18:23:56Z,Top Fuel ,Q3,Heat 6,Saturday
4455.015151,1.087650183,1002,3660,-2334,0.244628906,0.893554688,-0.569824219,2019-10-12T18:24:17.497500Z,113.9013122,0.027807938,NL,1,2019-10-12T18:23:56Z,Top Fuel ,Q3,Heat 6,Saturday
2752.826426,0.672076764,-2074.918226,1761,-414.3026529,-0.506571833,0.429931641,-0.101148109,2019-10-12T18:24:17.490500Z,89.57845,0.021869739,FL0,2,2019-10-12T18:23:56Z,Top Fuel ,Q3,Heat 6,Saturday
2398.553561,0.585584366,2285.451794,-719,113.1736832,0.55797163,-0.175537109,0.027630294,2019-10-12T18:24:18.650500Z,190.2551584,0.046449013,FL60,3,2019-10-12T18:23:56Z,Top Fuel ,Q3,Heat 6,Saturday
1841.2191,0.449516382,1670.519831,-772,-58.88351736,0.407841756,-0.188476563,-0.014375859,2019-10-12T18:24:19.710700Z,123.8782292,0.030243708,FL330,4,2019-10-12T18:23:56Z,Top Fuel ,Q3,Heat 6,Saturday
1684.03152,0.411140508,-1628.605735,25,-427.7622268,-0.397608822,0.006103516,-0.104434137,2019-10-12T18:24:20.454500Z,88.61227148,0.021633855,FL660,5,2019-10-12T18:23:56Z,Top Fuel ,Q3,Heat 6,Saturday
2059.616039,0.502835947,713.307716,891,1714.447238,0.174147392,0.217529297,0.41856622,2019-10-12T18:24:21.199200Z,168.0282041,0.041022511,FL1K,6,2019-10-12T18:23:56Z,Top Fuel ,Q3,Heat 6,Saturday
2147.972923,0.524407452,2129.442203,-208,-189.7355565,0.51988335,-0.05078125,-0.046322157,2019-10-12T18:27:16.329600Z,114.7255858,0.028009176,FL,0,2019-10-12T18:26:54Z,Top Fuel ,Q3,Heat 7,Saturday
3575.680215,0.872968802,-1832,-1068,2879,-0.447265625,-0.260742188,0.702880859,2019-10-12T18:27:15.647500Z,106.2127514,0.025930848,NL,1,2019-10-12T18:26:54Z,Top Fuel ,Q3,Heat 7,Saturday
2049.267812,0.500309524,1323.983952,-1551,202.395805,0.323238269,-0.378662109,0.049413038,2019-10-12T18:27:16.135500Z,87.37515346,0.021331825,FL0,2,2019-10-12T18:26:54Z,Top Fuel ,Q3,Heat 7,Saturday
2395.286765,0.584786808,-526.6503486,2229,-701.1398541,-0.128576745,0.544189453,-0.171176722,2019-10-12T18:27:16.655500Z,189.1962516,0.046190491,FL60,3,2019-10-12T18:26:54Z,Top Fuel ,Q3,Heat 7,Saturday
2300.97715,0.561762,-1754.23057,469,-1413.226788,-0.428278948,0.114501953,-0.345026071,2019-10-12T18:27:17.945700Z,123.0745095,0.030047488,FL330,4,2019-10-12T18:26:54Z,Top Fuel ,Q3,Heat 7,Saturday
1056.88965,0.2580297,-643.1101139,-709,-448.0447671,-0.157009305,-0.173095703,-0.109385929,2019-10-12T18:27:18.759500Z,86.05851299,0.021010379,FL660,5,2019-10-12T18:26:54Z,Top Fuel ,Q3,Heat 7,Saturday
2571.312464,0.627761832,-820.9187229,-951,-2243.510472,-0.20041961,-0.232177734,-0.547732049,2019-10-12T18:27:19.494200Z,167.3827987,0.040864941,FL1K,6,2019-10-12T18:26:54Z,Top Fuel ,Q3,Heat 7,Saturday
1877.125266,0.458282536,1810.167944,-120,-482.1734942,0.441935533,-0.029296875,-0.117718138,2019-10-12T18:29:54.799600Z,115.6763235,0.02824129,FL,0,2019-10-12T18:29:33Z,Top Fuel ,Q3,Heat 8,Saturday
4182.654779,1.021155952,-724,-2768,3051,-0.176757813,-0.67578125,0.744873047,2019-10-12T18:29:53.937500Z,107.6440054,0.026280275,NL,1,2019-10-12T18:29:33Z,Top Fuel ,Q3,Heat 8,Saturday
1996.472192,0.487419969,-1173.248781,1604,-191.2394058,-0.286437691,0.391601563,-0.046689308,2019-10-12T18:29:54.220500Z,86.17058551,0.021037741,FL0,2,2019-10-12T18:29:33Z,Top Fuel ,Q3,Heat 8,Saturday
2122.738607,0.51824673,1949.504916,-810,-222.1480949,0.475953349,-0.197753906,-0.054235375,2019-10-12T18:29:55.035500Z,189.3008567,0.046216029,FL60,3,2019-10-12T18:29:33Z,Top Fuel ,Q3,Heat 8,Saturday
2079.813112,0.507766873,-2065.839253,-236,-47.2732641,-0.504355286,-0.057617188,-0.011541324,2019-10-12T18:29:56.345700Z,123.6314765,0.030183466,FL330,4,2019-10-12T18:29:33Z,Top Fuel ,Q3,Heat 8,Saturday
1394.717565,0.340507218,-1189.589643,-468,-557.7540389,-0.290427159,-0.114257813,-0.13617042,2019-10-12T18:29:57.174500Z,88.19593093,0.02153221,FL660,5,2019-10-12T18:29:33Z,Top Fuel ,Q3,Heat 8,Saturday
2062.875587,0.503631735,1818.192886,-233,946.2247697,0.443894748,-0.056884766,0.231011907,2019-10-12T18:29:57.849200Z,169.0812435,0.0412796,FL1K,6,2019-10-12T18:29:33Z,Top Fuel ,Q3,Heat 8,Saturday
1565.576713,0.382220877,910.64062,-158,-1263.645562,0.22232437,-0.038574219,-0.308507217,2019-10-12T18:32:33.804600Z,115.0281618,0.028083047,FL,0,2019-10-12T18:32:12Z,Top Fuel ,Q3,Heat 9,Saturday
4038.273641,0.985906651,1842,-3491,853,0.449707031,-0.852294922,0.208251953,2019-10-12T18:32:33.217500Z,110.0974342,0.026879256,NL,1,2019-10-12T18:32:12Z,Top Fuel ,Q3,Heat 9,Saturday
2069.534046,0.505257335,1716.053374,-1136,218.2566934,0.418958343,-0.27734375,0.053285326,2019-10-12T18:32:33.225500Z,86.00112489,0.020996368,FL0,2,2019-10-12T18:32:12Z,Top Fuel ,Q3,Heat 9,Saturday
3506.813716,0.856155692,-2912.868663,1800,756.9270707,-0.711149576,0.439453125,0.184796648,2019-10-12T18:32:34.220500Z,189.5150351,0.046268319,FL60,3,2019-10-12T18:32:12Z,Top Fuel ,Q3,Heat 9,Saturday
3177.71969,0.775810471,-3027.517522,87,-961.4941929,-0.73914002,0.021240234,-0.234739793,2019-10-12T18:32:35.525700Z,122.5370616,0.029916275,FL330,4,2019-10-12T18:32:12Z,Top Fuel ,Q3,Heat 9,Saturday
217.9963959,0.053221776,-190.3132252,59,88.44379533,-0.04646319,0.014404297,0.021592723,2019-10-12T18:32:35.744500Z,83.12912707,0.020295197,FL660,5,2019-10-12T18:32:12Z,Top Fuel ,Q3,Heat 9,Saturday
